"age_group","gender","migration_background","high","low","middle","total","no_current_edu"
"age_15_20","female","Dutch",1466,644,3800,7073,1163
"age_15_20","female","Non_Western",1212,2273,5827,10459,1147
"age_15_20","female","Western",938,263,1044,2647,402
"age_15_20","male","Dutch",992,781,3655,6602,1174
"age_15_20","male","Non_Western",918,2830,5499,11068,1821
"age_15_20","male","Western",546,329,1043,3004,1086
"age_20_25","female","Dutch",9499,3,548,16412,6362
"age_20_25","female","Non_Western",4589,42,1820,12268,5817
"age_20_25","female","Western",3532,6,125,8067,4404
"age_20_25","male","Dutch",6722,7,565,12447,5153
"age_20_25","male","Non_Western",3344,76,1834,12468,7214
"age_20_25","male","Western",2341,1,172,5972,3458
"age_25_30","female","Dutch",3390,0,86,21303,17827
"age_25_30","female","Non_Western",1995,27,332,15071,12717
"age_25_30","female","Western",1391,0,20,10673,9262
"age_25_30","male","Dutch",3524,1,117,23807,20165
"age_25_30","male","Non_Western",1758,68,279,15049,12944
"age_25_30","male","Western",1226,0,35,12342,11081
"age_30_35","female","Dutch",379,0,37,17842,17426
"age_30_35","female","Non_Western",477,14,135,15229,14603
"age_30_35","female","Western",265,0,10,11153,10878
"age_30_35","male","Dutch",562,1,59,18532,17910
"age_30_35","male","Non_Western",462,36,97,14846,14251
"age_30_35","male","Western",235,0,7,10484,10242
"age_35_40","female","Dutch",147,1,25,13197,13024
"age_35_40","female","Non_Western",172,10,132,13542,13228
"age_35_40","female","Western",96,0,11,8191,8084
"age_35_40","male","Dutch",150,2,22,11793,11619
"age_35_40","male","Non_Western",130,24,82,13181,12945
"age_35_40","male","Western",89,1,8,7887,7789
"age_40_45","female","Dutch",110,0,20,10433,10303
"age_40_45","female","Non_Western",84,8,82,11368,11194
"age_40_45","female","Western",50,0,12,6138,6076
"age_40_45","male","Dutch",83,0,13,11886,11790
"age_40_45","male","Non_Western",50,11,56,11002,10885
"age_40_45","male","Western",42,1,7,6119,6069
"age_45_50","female","Dutch",83,0,26,12023,11914
"age_45_50","female","Non_Western",42,11,56,10823,10714
"age_45_50","female","Western",35,0,10,5373,5328
"age_45_50","male","Dutch",63,1,27,13447,13356
"age_45_50","male","Non_Western",30,12,29,10622,10551
"age_45_50","male","Western",24,0,8,5248,5216
"age_over_50","female","Dutch",149,2,51,72254,72052
"age_over_50","female","Non_Western",46,6,75,37636,37509
"age_over_50","female","Western",43,1,9,19623,19570
"age_over_50","male","Dutch",126,4,31,72716,72555
"age_over_50","male","Non_Western",39,15,54,38482,38374
"age_over_50","male","Western",32,2,10,19561,19517
