"age","male","female","total","age_group","group_propensity"
0,3118,2836,5954,"age_0_15",0.0651636204443472
1,3110,3019,6129,"age_0_15",0.0670789099266718
2,2962,2914,5876,"age_0_15",0.0643099485607968
3,3191,2928,6119,"age_0_15",0.0669694648133961
4,3180,2991,6171,"age_0_15",0.0675385794024297
5,3121,2877,5998,"age_0_15",0.0656451789427602
6,3102,3072,6174,"age_0_15",0.0675714129364124
7,3108,2930,6038,"age_0_15",0.066082959395863
8,3122,3028,6150,"age_0_15",0.0673087446645507
9,3164,3067,6231,"age_0_15",0.0681952500820838
10,3190,3061,6251,"age_0_15",0.0684141403086352
11,3135,3032,6167,"age_0_15",0.0674948013571194
12,3190,2991,6181,"age_0_15",0.0676480245157054
13,3004,2941,5945,"age_0_15",0.065065119842399
14,3032,2954,5986,"age_0_15",0.0655138448068294
15,2976,2872,5848,"age_15_25",0.0856059607980911
16,3062,2797,5859,"age_15_25",0.0857669843221642
17,3052,2895,5947,"age_15_25",0.0870551725147483
18,3220,3144,6364,"age_15_25",0.0931594279273345
19,3424,3527,6951,"age_15_25",0.101752228711958
20,3602,3745,7347,"age_15_25",0.107549075578587
21,3584,3772,7356,"age_15_25",0.107680822098283
22,3627,3766,7393,"age_15_25",0.108222446679256
23,3680,3821,7501,"age_15_25",0.109803404915609
24,3821,3926,7747,"age_15_25",0.113404476453969
25,3963,4157,8120,"age_25_45",0.0492434579580945
26,4202,4293,8495,"age_25_45",0.0515176324327602
27,4288,4324,8612,"age_25_45",0.0522271748688559
28,4371,4423,8794,"age_25_45",0.053330907547227
29,4281,4350,8631,"age_25_45",0.0523423997089057
30,4353,4422,8775,"age_25_45",0.0532156827071773
31,4332,4334,8666,"age_25_45",0.0525546559932078
32,4330,4307,8637,"age_25_45",0.0523787865005003
33,4196,4070,8266,"age_25_45",0.0501288698868977
34,4160,4011,8171,"age_25_45",0.0495527456866491
35,4065,4124,8189,"age_25_45",0.049661906061433
36,4148,4111,8259,"age_25_45",0.0500864186300373
37,3978,4184,8162,"age_25_45",0.0494981654992571
38,4034,3987,8021,"age_25_45",0.0486430758967828
39,4096,4154,8250,"age_25_45",0.0500318384426453
40,4140,4014,8154,"age_25_45",0.0494496497771309
41,4094,3788,7882,"age_25_45",0.04780011522484
42,3986,3875,7861,"age_25_45",0.0476727614542588
43,3775,3886,7661,"age_25_45",0.0464598684011037
44,3654,3635,7289,"age_25_45",0.0442038873222354
45,3740,3631,7371,"age_45_65",0.0517637309774785
46,3868,3831,7699,"age_45_65",0.0540671502910876
47,3942,3783,7725,"age_45_65",0.0542497384074103
48,4083,4017,8100,"age_45_65",0.0568832208543719
49,4154,4018,8172,"age_45_65",0.0573888494841886
50,4261,3977,8238,"age_45_65",0.0578523423948538
51,4272,4008,8280,"age_45_65",0.0581472924289135
52,3904,3654,7558,"age_45_65",0.05307696089103
53,3789,3558,7347,"age_45_65",0.0515951881008729
54,3863,3478,7341,"age_45_65",0.0515530523817215
55,3754,3560,7314,"age_45_65",0.0513634416455403
56,3687,3591,7278,"age_45_65",0.051110627330632
57,3728,3428,7156,"age_45_65",0.0502538677078871
58,3372,3341,6713,"age_45_65",0.0471428471105431
59,3213,3221,6434,"age_45_65",0.0451835361700036
60,3324,3157,6481,"age_45_65",0.0455135993033561
61,3213,3034,6247,"age_45_65",0.043870306256452
62,2865,2881,5746,"age_45_65",0.0403519737073113
63,2777,2877,5654,"age_45_65",0.0397058926803233
64,2730,2813,5543,"age_45_65",0.0389263818760227
65,2625,2625,5250,"age_over65",0.0645415094107668
66,2508,2641,5149,"age_over65",0.063299853705912
67,2363,2540,4903,"age_over65",0.0602756229792361
68,2359,2514,4873,"age_over65",0.0599068143540317
69,2175,2340,4515,"age_over65",0.0555056980932594
70,2289,2333,4622,"age_over65",0.056821115523155
71,2137,2278,4415,"age_over65",0.0542763360092448
72,2198,2372,4570,"age_over65",0.0561818472394674
73,2146,2499,4645,"age_over65",0.0571038688024784
74,2445,2518,4963,"age_over65",0.0610132402296448
75,1358,1629,2987,"age_over65",0.0367210454495162
76,1498,1754,3252,"age_over65",0.0399788549721549
77,1272,1505,2777,"age_over65",0.0341393850730856
78,1106,1411,2517,"age_over65",0.0309430436546476
79,1094,1339,2433,"age_over65",0.0299103795040753
80,1145,1350,2495,"age_over65",0.0306725839961644
81,959,1281,2240,"age_over65",0.0275377106819271
82,843,1171,2014,"age_over65",0.0247593523720541
83,717,1030,1747,"age_over65",0.0214769556077351
84,661,968,1629,"age_over65",0.0200263083485979
85,554,861,1415,"age_over65",0.0173954734888067
86,473,798,1271,"age_over65",0.0156251920878256
87,413,727,1140,"age_over65",0.0140147277577665
88,349,673,1022,"age_over65",0.0125640804986293
89,324,603,927,"age_over65",0.0113961865188154
90,226,528,754,"age_over65",0.00926939011347012
91,166,451,617,"age_over65",0.00758516405837011
92,144,407,551,"age_over65",0.00677378508292047
93,108,301,409,"age_over65",0.00502809092361973
94,80,261,341,"age_over65",0.0041921247064898
95,53,202,255,"age_over65",0.00313487331423724
96,48,152,200,"age_over65",0.00245872416802921
97,33,129,162,"age_over65",0.00199156657610366
98,20,91,111,"age_over65",0.00136459191325621
99,16,57,73,"age_over65",0.000897434321330662
100,14,46,60,"age_over65",0.000737617250408763
101,2,16,18,"age_over65",0.000221285175122629
102,1,12,13,"age_over65",0.000159817070921899
103,2,3,5,"age_over65",6.14681042007302e-05
104,0,3,3,"age_over65",3.68808625204381e-05
