"gender","age_group","Non_Western","Dutch","Western","total"
"male","age_over_95",10,175,11,196
"female","age_over_95",49,567,88,704
"female","age_0_5",7884,9774,4257,21915
"male","age_0_5",8264,10339,4044,22647
"female","age_5_10",8515,7329,3323,19167
"male","age_5_10",9062,7840,3270,20172
"male","age_10_15",9334,7386,2900,19620
"female","age_10_15",9716,7076,2753,19545
"female","age_15_20",10398,7097,2899,20394
"male","age_15_20",10905,6841,3399,21145
"male","age_20_25",12876,11552,6395,30823
"female","age_20_25",12711,15472,8663,36846
"female","age_25_30",14885,20614,11385,46884
"male","age_25_30",15201,23295,12995,51491
"male","age_30_35",15425,18573,11912,45910
"female","age_30_35",16094,17618,12380,46092
"female","age_35_40",14228,12630,8971,35829
"male","age_35_40",14287,11142,8706,34135
"male","age_40_45",11543,10844,6654,29041
"female","age_40_45",12051,9687,6486,28224
"female","age_45_50",10952,10695,5479,27126
"male","age_45_50",10571,11695,5339,27605
"female","age_50_55",10053,13350,4957,28360
"male","age_50_55",10514,11872,4849,27235
"female","age_55_60",9316,12351,4084,25751
"male","age_55_60",10003,13585,4017,27605
"female","age_60_65",8032,11640,3093,22765
"male","age_60_65",7818,12446,3318,23582
"male","age_65_70",5634,10389,2551,18574
"female","age_65_70",5533,10135,2989,18657
"female","age_70_75",3567,9928,2353,15848
"male","age_70_75",3570,10533,2646,16749
"male","age_75_80",2075,5696,1282,9053
"female","age_75_80",2103,6890,1455,10448
"female","age_80_85",1343,3536,904,5783
"male","age_80_85",1274,4903,1124,7301
"male","age_85_90",590,1766,391,2747
"female","age_85_90",444,3263,637,4344
"female","age_90_95",192,704,128,1024
"male","age_90_95",109,1584,308,2001
