"age","male","female","total","age_group","group_propensity"
0,5092,4806,9898,"age_0_15",0.0804283880194367
1,4789,4533,9322,"age_0_15",0.0757479726325711
2,4454,4267,8721,"age_0_15",0.0708644142167617
3,4340,4100,8440,"age_0_15",0.0685810865714332
4,4185,3996,8181,"age_0_15",0.0664765247915753
5,4201,3829,8030,"age_0_15",0.0652495408967546
6,4026,3899,7925,"age_0_15",0.0643963401751906
7,4011,3733,7744,"age_0_15",0.0629255846456373
8,3976,3780,7756,"age_0_15",0.0630230932995303
9,4011,3873,7884,"age_0_15",0.0640631856077227
10,4195,3969,8164,"age_0_15",0.0663383875318935
11,4126,3889,8015,"age_0_15",0.0651276550793883
12,4091,3812,7903,"age_0_15",0.06421757430972
13,3854,3750,7604,"age_0_15",0.0617879836835519
14,3736,3743,7479,"age_0_15",0.0607722685388328
15,3904,3713,7617,"age_15_25",0.0697476375357117
16,3858,3640,7498,"age_15_25",0.068657973774815
17,3915,3732,7647,"age_15_25",0.0700223426855175
18,4131,4372,8503,"age_15_25",0.0778605962933119
19,4837,5437,10274,"age_15_25",0.0940773569701853
20,5219,6242,11461,"age_15_25",0.104946524064171
21,5575,6655,12230,"age_15_25",0.111988132737528
22,5959,7190,13149,"age_15_25",0.120403267159915
23,6526,8087,14613,"age_15_25",0.133808878470442
24,7379,8837,16216,"age_15_25",0.148487290308402
25,8152,9369,17521,"age_25_45",0.0551658343985945
26,9055,10243,19298,"age_25_45",0.0607608168611424
27,9704,10552,20256,"age_25_45",0.063777132673816
28,10133,10516,20649,"age_25_45",0.0650145148391403
29,10156,10495,20651,"age_25_45",0.0650208119493964
30,10147,10104,20251,"age_25_45",0.0637613898981757
31,9701,9534,19235,"age_25_45",0.0605624578880752
32,9511,9090,18601,"age_25_45",0.0585662739368904
33,8853,8391,17244,"age_25_45",0.0542936846281242
34,8367,8304,16671,"age_25_45",0.0524895625397505
35,8006,7570,15576,"age_25_45",0.0490418946745339
36,7512,7064,14576,"age_25_45",0.0458933395464821
37,7075,6791,13866,"age_25_45",0.0436578654055654
38,6722,6478,13200,"age_25_45",0.0415609276902829
39,6573,6173,12746,"age_25_45",0.0401314836621474
40,6326,6095,12421,"age_25_45",0.0391082032455306
41,5789,5637,11426,"age_25_45",0.0359753908931192
42,5660,5579,11239,"age_25_45",0.0353866110841735
43,5733,5601,11334,"age_25_45",0.0356857238213384
44,5533,5312,10845,"age_25_45",0.0341460803637211
45,5345,5197,10542,"age_45_65",0.0501930685762442
46,5562,5304,10866,"age_45_65",0.0517357126872956
47,5360,5367,10727,"age_45_65",0.0510738993186655
48,5683,5406,11089,"age_45_65",0.0527974708254574
49,5795,5712,11507,"age_45_65",0.0547876721786039
50,5957,5641,11598,"age_45_65",0.0552209456789301
51,5880,5467,11347,"age_45_65",0.0540258726175909
52,5804,5295,11099,"age_45_65",0.0528450832980207
53,5568,5151,10719,"age_45_65",0.0510358093406149
54,5612,5220,10832,"age_45_65",0.0515738302805803
55,5659,5145,10804,"age_45_65",0.051440515357403
56,5783,5386,11169,"age_45_65",0.0531783706059639
57,5623,5128,10751,"age_45_65",0.0511881692528175
58,5435,5165,10600,"age_45_65",0.0504692209171114
59,5172,4860,10032,"age_45_65",0.0477648324755153
60,5159,5008,10167,"age_45_65",0.04840760085512
61,4864,4655,9519,"age_45_65",0.0453223126330173
62,4623,4701,9324,"age_45_65",0.0443938694180327
63,4388,4391,8779,"age_45_65",0.0417989896633322
64,4323,4235,8558,"age_45_65",0.040746754019683
65,4086,3979,8065,"age_over65",0.0711055077012599
66,3929,3913,7842,"age_over65",0.0691394161677967
67,3620,3664,7284,"age_over65",0.0642197790571577
68,3525,3776,7301,"age_over65",0.0643696604745069
69,3313,3426,6739,"age_over65",0.0594147571480211
70,3371,3445,6816,"age_over65",0.0600936318030734
71,3045,3269,6314,"age_over65",0.0556677217142908
72,3071,3281,6352,"age_over65",0.0560027507648361
73,3195,3317,6512,"age_over65",0.057413399398711
74,3169,3434,6603,"age_over65",0.0582157058092274
75,2011,2247,4258,"age_over65",0.0375408867689975
76,2009,2347,4356,"age_over65",0.0384049090572459
77,1927,2108,4035,"age_over65",0.0355747952355342
78,1655,1937,3592,"age_over65",0.0316690618304929
79,1479,1781,3260,"age_over65",0.0287419659152024
80,1514,1807,3321,"age_over65",0.0292797757068672
81,1264,1628,2892,"age_over65",0.02549747405729
82,1146,1455,2601,"age_over65",0.0229318568544299
83,966,1258,2224,"age_over65",0.019608016010862
84,824,1222,2046,"age_over65",0.0180386694056761
85,719,1126,1845,"age_over65",0.0162665420593707
86,597,981,1578,"age_over65",0.0139125221515918
87,484,871,1355,"age_over65",0.0119464306181286
88,438,809,1247,"age_over65",0.010994242790263
89,363,703,1066,"age_over65",0.00939844652319195
90,322,564,886,"age_over65",0.00781146681008261
91,225,499,724,"age_over65",0.00638318506828421
92,183,412,595,"age_over65",0.00524584960722252
93,127,358,485,"age_over65",0.00427602867143348
94,84,251,335,"age_over65",0.0029535455771757
95,77,214,291,"age_over65",0.00256561720286009
96,42,166,208,"age_over65",0.00183384322403745
97,30,123,153,"age_over65",0.00134893275614293
98,19,76,95,"age_over65",0.00083757262636326
99,14,46,60,"age_over65",0.000528993237703111
100,8,28,36,"age_over65",0.000317395942621867
101,3,22,25,"age_over65",0.000220413849042963
102,3,10,13,"age_over65",0.000114615201502341
103,0,8,8,"age_over65",7.05324316937482e-05
104,0,5,5,"age_over65",4.40827698085926e-05
