"neighb_code","tot_pop","gender_male","gender_female","age_0_15","age_15_25","age_25_45","age_45_65","age_over65","migration_west","migration_non_west","hh_total","hh_single","hh_no_children","hh_with_children","hh_avg_size","education_absolved_low","education_absolved_middle","education_absolved_high","migration_Dutch"
"BU05180170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"       .",0,0,0,0
"BU05180271",8245,4035,4210,1230,1210,1780,2350,1680,1990,1075,4190,2080,1010,1110,"     1.9",1250,2170,2960,5180
"BU05180373",930,420,505,95,85,100,210,440,250,85,475,235,160,85,"     1.8",70,200,390,595
"BU05180374",1075,490,585,145,95,135,320,380,285,90,470,190,150,140,"     2.1",90,200,440,700
"BU05180448",1610,775,830,300,145,420,410,335,495,185,750,315,215,230,"     2.1",100,210,850,930
"BU05180475",2105,980,1125,295,130,545,555,585,600,300,1145,610,300,245,"     1.8",260,250,1030,1205
"BU05180476",2525,1060,1460,230,155,335,485,1315,695,235,1440,845,380,220,"     1.7",210,350,870,1595
"BU05180477",3905,1905,2000,895,385,785,1080,765,1015,395,1680,625,430,635,"     2.3",280,530,1870,2495
"BU05180478",1365,660,705,285,115,275,340,350,425,170,560,255,130,185,"     2.2",80,120,830,770
"BU05180479",2335,1135,1195,535,200,645,610,345,655,275,1015,380,240,405,"     2.3",120,380,1160,1405
"BU05180546",6160,2925,3235,835,610,1510,1850,1355,1835,775,3395,1855,805,740,"     1.8",590,1090,3180,3550
"BU05180605",765,355,410,110,80,120,215,245,250,85,345,175,80,100,"     2.0",70,160,310,430
"BU05180701",2915,1455,1460,395,235,920,835,540,420,255,1635,885,375,385,"     1.8",750,860,720,2240
"BU05180702",3870,1880,1990,640,320,1045,1055,815,685,420,1960,920,485,565,"     1.9",1410,690,940,2765
"BU05180703",5495,2740,2755,775,550,1755,1480,930,1205,660,3040,1580,745,720,"     1.8",750,1590,2040,3630
"BU05180704",3885,1835,2050,590,395,1025,1020,860,855,505,2050,1035,475,550,"     1.9",720,1100,1070,2525
"BU05180772",1605,760,845,220,180,390,415,395,315,185,880,470,190,225,"     1.8",270,440,480,1105
"BU05180800",5875,2925,2945,1090,550,1595,1760,880,645,395,2825,1195,625,1015,"     2.1",1920,1730,840,4835
"BU05180907",9705,4680,5025,1735,1155,2270,2840,1705,3420,1090,4600,2090,1095,1425,"     2.1",970,2030,4330,5195
"BU05180908",4215,2005,2210,690,400,1085,1195,845,740,475,2040,865,510,670,"     2.1",1020,1050,1080,3000
"BU05181041",530,265,265,70,40,110,125,190,175,60,280,120,110,55,"     1.9",20,220,190,295
"BU05181142",2025,960,1065,315,165,660,470,420,735,255,1150,640,280,240,"     1.8",170,590,970,1035
"BU05181143",5840,2895,2945,985,605,1995,1580,675,1700,685,3030,1530,725,785,"     1.9",370,1340,3010,3455
"BU05181250",2305,1070,1235,360,210,385,760,595,395,135,1060,415,290,365,"     2.1",250,520,890,1775
"BU05181251",6495,2965,3530,1060,575,1780,1810,1280,1370,690,3320,1515,820,995,"     2.0",850,1730,2280,4435
"BU05181252",5940,2765,3175,950,495,1730,1590,1175,1400,680,3075,1480,765,840,"     1.9",910,1420,2180,3860
"BU05181309",5335,2590,2745,1150,640,725,1740,1085,1180,285,2020,465,615,945,"     2.6",460,790,2570,3870
"BU05181481",370,175,190,40,50,50,155,80,60,35,195,95,50,55,"     1.9",30,120,150,275
"BU05181492",4425,1930,2490,395,265,760,1250,1755,865,315,2585,1480,675,440,"     1.7",430,1160,1590,3245
"BU05181590",780,415,365,90,140,140,280,130,140,130,285,95,110,90,"     2.2",230,160,300,510
"BU05181591",1565,750,815,150,135,180,460,640,280,100,775,280,310,200,"     2.0",180,360,570,1185
"BU05181697",6255,3200,3050,1100,550,1635,1875,1095,960,905,2625,945,730,960,"     2.2",1130,1990,1950,4390
"BU05181785",55,50,5,0,0,30,25,0,5,20,10,10,5,5,"     1.3",0,0,0,30
"BU05181786",12890,6340,6550,2100,1425,2935,3780,2650,1600,2985,5595,1930,1530,2145,"     2.2",3250,4080,2460,8305
"BU05181795",5025,2310,2715,595,395,1130,1340,1565,625,665,2770,1445,685,650,"     1.8",1530,1310,750,3735
"BU05181806",2080,920,1160,270,160,390,575,690,295,460,1180,615,295,280,"     1.8",450,590,390,1325
"BU05181840",7285,3475,3810,1250,715,1805,2000,1520,985,1795,3440,1475,815,1155,"     2.1",1760,2020,1590,4505
"BU05181882",2915,1385,1530,290,175,610,755,1090,440,420,1540,830,405,310,"     1.7",690,880,760,2055
"BU05181893",1825,825,1000,210,130,325,530,630,375,135,1020,510,300,220,"     1.8",150,540,640,1315
"BU05181894",3150,1315,1830,170,125,460,685,1710,515,310,2015,1255,570,200,"     1.5",430,890,630,2325
