"gender","age_group","Non_Western","Dutch","Western","total"
"male","age_over_95",11,169,33,213
"female","age_over_95",16,612,130,758
"female","age_0_5",6451,6174,3240,15865
"male","age_0_5",6130,6489,3076,15695
"male","age_5_10",6542,6456,2917,15915
"female","age_5_10",6340,6182,2810,15332
"male","age_10_15",6339,6028,2327,14694
"female","age_10_15",6747,5859,2425,15031
"female","age_15_20",6853,5783,2545,15181
"male","age_15_20",7210,5982,2240,15432
"female","age_20_25",8046,6105,3911,18062
"male","age_20_25",8151,6020,3253,17424
"male","age_25_30",8748,7942,4908,21598
"female","age_25_30",8648,7975,4099,20722
"male","age_30_35",8895,7301,4580,20776
"female","age_30_35",8796,7238,4792,20826
"female","age_35_40",8531,6953,4689,20173
"male","age_35_40",8494,7187,4559,20240
"female","age_40_45",7284,7042,4400,18726
"male","age_40_45",7067,7717,4180,18964
"female","age_45_50",7468,8792,3912,20172
"male","age_45_50",7131,9434,3915,20480
"male","age_50_55",6406,9440,3290,19136
"female","age_50_55",6051,8631,3213,17895
"female","age_55_60",5267,8498,2552,16317
"male","age_55_60",5501,9141,2471,17113
"female","age_60_65",3971,8060,2100,14131
"male","age_60_65",3697,8295,1921,13913
"female","age_65_70",2570,7585,1831,11986
"male","age_65_70",2916,7618,1656,12190
"male","age_70_75",1711,7139,1398,10248
"female","age_70_75",1762,7841,1558,11161
"male","age_75_80",1092,4136,958,6186
"female","age_75_80",1077,5056,1186,7319
"female","age_80_85",640,3959,868,5467
"male","age_80_85",485,2717,604,3806
"female","age_85_90",265,2938,624,3827
"male","age_85_90",166,1570,286,2022
"male","age_90_95",35,641,106,782
"female","age_90_95",89,1652,314,2055
