"gender","age_group","Non_Western","Dutch","Western","total"
"male","age_over_95",2,54,3,59
"female","age_over_95",7,259,16,282
"female","age_0_5",2819,6909,1109,10837
"male","age_0_5",2828,7142,1101,11071
"female","age_5_10",2968,5852,939,9759
"male","age_5_10",3172,6140,980,10292
"male","age_10_15",3082,5215,858,9155
"female","age_10_15",3220,4957,770,8947
"female","age_15_20",2999,5221,703,8923
"male","age_15_20",3223,4847,901,8971
"male","age_20_25",3666,9730,2022,15418
"female","age_20_25",3444,14107,2918,20469
"female","age_25_30",4222,13262,2662,20146
"male","age_25_30",4126,14817,3045,21988
"male","age_30_35",4034,11232,2263,17529
"female","age_30_35",4049,10630,2552,17231
"female","age_35_40",3741,8586,1801,14128
"male","age_35_40",3649,7914,1932,13495
"male","age_40_45",3097,7414,1402,11913
"female","age_40_45",3073,6818,1546,11437
"female","age_45_50",2739,7253,1384,11376
"male","age_45_50",3101,7879,1416,12396
"female","age_50_55",2013,6594,1172,9779
"male","age_50_55",2522,6230,1165,9917
"female","age_55_60",1669,5887,825,8381
"male","age_55_60",1950,5950,938,8838
"female","age_60_65",1146,5000,762,6908
"male","age_60_65",1094,5080,801,6975
"male","age_65_70",903,4250,592,5745
"female","age_65_70",756,4197,705,5658
"female","age_70_75",635,3404,428,4467
"male","age_70_75",596,3945,516,5057
"male","age_75_80",508,2084,337,2929
"female","age_75_80",592,2735,382,3709
"female","age_80_85",316,1407,243,1966
"male","age_80_85",355,2126,253,2734
"male","age_85_90",111,785,86,982
"female","age_85_90",89,1542,141,1772
"female","age_90_95",26,292,39,357
"male","age_90_95",15,782,73,870
