"age","male","female","total","age_group","group_propensity"
0,2466,2282,4748,"age_0_15",0.0790529628211318
1,2225,2272,4497,"age_0_15",0.0748738782238058
2,2200,2132,4332,"age_0_15",0.0721266712175954
3,2098,2062,4160,"age_0_15",0.0692629160353641
4,2090,2081,4171,"age_0_15",0.0694460631691114
5,2071,1968,4039,"age_0_15",0.0672482975641431
6,2129,1937,4066,"age_0_15",0.0676978405287957
7,2060,1894,3954,"age_0_15",0.065833069712459
8,2027,2025,4052,"age_0_15",0.0674647441767536
9,1964,1976,3940,"age_0_15",0.0655999733604169
10,1932,1896,3828,"age_0_15",0.0637352025440802
11,1906,1850,3756,"age_0_15",0.0625364213050066
12,1869,1744,3613,"age_0_15",0.0601555085662909
13,1855,1697,3552,"age_0_15",0.0591398744609647
14,1731,1622,3353,"age_0_15",0.0558265763140807
15,1759,1690,3449,"age_15_25",0.0641304549933992
16,1667,1574,3241,"age_15_25",0.0602629181309384
17,1679,1538,3217,"age_15_25",0.0598166638775776
18,1699,1945,3644,"age_15_25",0.0677562708019561
19,1969,2374,4343,"age_15_25",0.0807534259310909
20,2356,3271,5627,"age_15_25",0.104628028485897
21,2638,3841,6479,"age_15_25",0.120470054480207
22,3100,4269,7369,"age_15_25",0.137018649709005
23,3402,4521,7923,"age_15_25",0.147319685390751
24,3700,4789,8489,"age_15_25",0.157843848199178
25,4019,4744,8763,"age_25_45",0.0685321466836635
26,3999,4585,8584,"age_25_45",0.0671322546083039
27,4023,4454,8477,"age_25_45",0.0662954476135359
28,4041,4291,8332,"age_25_45",0.0651614568262335
29,3968,4010,7978,"age_25_45",0.0623929551799917
30,3890,3796,7686,"age_25_45",0.0601093323531482
31,3748,3660,7408,"age_25_45",0.0579351982919753
32,3484,3435,6919,"age_25_45",0.0541109121196243
33,3288,3263,6551,"age_25_45",0.0512329217077119
34,3134,3062,6196,"age_25_45",0.0484565994353508
35,2989,2969,5958,"age_25_45",0.0465952904189509
36,2848,2840,5688,"age_25_45",0.0444837213667326
37,2860,2690,5550,"age_25_45",0.0434044749622655
38,2811,2604,5415,"age_25_45",0.0423486904361563
39,2528,2484,5012,"age_25_45",0.0391969781100675
40,2567,2371,4938,"age_25_45",0.0386182517772373
41,2297,2351,4648,"age_25_45",0.0363502702026324
42,2349,2268,4617,"age_25_45",0.0361078307929333
43,2351,2248,4599,"age_25_45",0.0359670595227854
44,2349,2199,4548,"age_25_45",0.0355682075906997
45,2357,2233,4590,"age_45_65",0.061552903312324
46,2482,2303,4785,"age_45_65",0.0641678959367038
47,2564,2272,4836,"age_45_65",0.0648518170846185
48,2478,2326,4804,"age_45_65",0.0644226900898485
49,2483,2274,4757,"age_45_65",0.06379240981628
50,2196,2071,4267,"age_45_65",0.0572214027088642
51,2090,1842,3932,"age_45_65",0.0527289794823656
52,2078,1891,3969,"age_45_65",0.0532251575700684
53,1981,1781,3762,"age_45_65",0.0504492423226499
54,1943,1823,3766,"age_45_65",0.0505028831969961
55,1886,1826,3712,"age_45_65",0.0497787313933217
56,1807,1749,3556,"age_45_65",0.0476867372938179
57,1818,1688,3506,"age_45_65",0.0470162263644897
58,1646,1622,3268,"age_45_65",0.0438245943408878
59,1568,1609,3177,"age_45_65",0.0426042644495105
60,1566,1521,3087,"age_45_65",0.0413973447767199
61,1460,1426,2886,"age_45_65",0.0387018908408207
62,1360,1381,2741,"age_45_65",0.0367574091457691
63,1303,1345,2648,"age_45_65",0.0355102588172187
64,1247,1274,2521,"age_45_65",0.0338071610567252
65,1171,1264,2435,"age_over65",0.0665591515416575
66,1166,1229,2395,"age_over65",0.0654657773890225
67,1080,1111,2191,"age_over65",0.0598895692105839
68,1124,1139,2263,"age_over65",0.0618576426853269
69,1057,1062,2119,"age_over65",0.0579214957358408
70,985,1115,2100,"age_over65",0.0574021430133392
71,1058,1098,2156,"age_over65",0.0589328668270282
72,1052,1252,2304,"age_over65",0.0629783511917778
73,634,750,1384,"age_over65",0.0378307456811721
74,699,881,1580,"age_over65",0.0431882790290838
75,645,795,1440,"age_over65",0.0393614694948611
76,619,756,1375,"age_over65",0.0375847364968292
77,565,651,1216,"age_over65",0.033238574240105
78,662,740,1402,"age_over65",0.0383227640498579
79,522,683,1205,"age_over65",0.0329378963481303
80,514,609,1123,"age_over65",0.0306964793352285
81,433,598,1031,"age_over65",0.0281817187841679
82,391,561,952,"age_over65",0.0260223048327138
83,371,495,866,"age_over65",0.0236715504045484
84,296,432,728,"age_over65",0.0198994095779576
85,260,417,677,"age_over65",0.0185053575333479
86,234,413,647,"age_over65",0.0176853269188716
87,183,359,542,"age_over65",0.0148152197682047
88,170,337,507,"age_over65",0.013858517384649
89,113,268,381,"age_over65",0.0104143888038487
90,103,241,344,"age_over65",0.00940301771266127
91,76,198,274,"age_over65",0.00748961294554997
92,67,186,253,"age_over65",0.00691559151541658
93,59,131,190,"age_over65",0.0051935272250164
94,41,125,166,"age_over65",0.00453750273343538
95,26,76,102,"age_over65",0.00278810408921933
96,17,68,85,"age_over65",0.00232342007434944
97,3,59,62,"age_over65",0.0016947299365843
98,7,31,38,"age_over65",0.00103870544500328
99,4,24,28,"age_over65",0.000765361906844522
100,0,9,9,"age_over65",0.000246009184342882
101,0,7,7,"age_over65",0.000191340476711131
102,2,3,5,"age_over65",0.000136671769079379
103,0,1,1,"age_over65",2.73343538158758e-05
104,0,1,1,"age_over65",2.73343538158758e-05
