"neighb_code","tot_pop","gender_male","gender_female","age_0_15","age_15_25","age_25_45","age_45_65","age_over65","migration_west","migration_non_west","hh_total","hh_single","hh_no_children","hh_with_children","hh_avg_size","education_absolved_low","education_absolved_middle","education_absolved_high","migration_Dutch"
"BU03630000",1035,610,420,45,100,575,250,75,340,175,755,525,180,45,"     1.4",60,210,750,520
"BU03630001",705,400,300,30,120,365,140,60,250,110,505,350,115,35,"     1.4",50,200,410,345
"BU03630002",1570,860,710,100,230,760,330,170,515,295,1105,765,240,95,"     1.4",70,180,1190,760
"BU03630003",350,180,170,25,60,185,65,30,125,35,235,145,65,15,"     1.5",20,80,230,190
"BU03630004",625,345,280,40,80,275,155,80,175,100,435,305,85,45,"     1.4",40,130,450,350
"BU03630100",0,0,0,0,5,5,0,0,5,0,0,0,0,0,"     1.0",0,0,0,-5
"BU03630101",600,330,265,25,85,340,120,40,235,100,435,305,100,25,"     1.4",50,130,370,265
"BU03630102",465,265,195,20,80,260,90,25,185,100,335,225,85,20,"     1.4",40,140,250,180
"BU03630103",805,430,370,45,110,440,150,70,315,125,560,375,140,40,"     1.4",90,280,390,365
"BU03630104",825,470,355,60,115,475,140,45,315,140,550,340,165,40,"     1.5",80,190,500,370
"BU03630105",730,395,330,55,110,350,165,65,280,110,520,375,95,45,"     1.4",40,200,440,340
"BU03630106",420,170,250,10,50,225,75,75,130,75,315,230,70,10,"     1.3",30,70,280,215
"BU03630107",265,150,110,10,55,135,50,15,110,35,185,120,55,10,"     1.4",10,70,210,120
"BU03630200",1840,975,865,165,190,595,510,395,565,155,1160,700,305,150,"     1.6",60,390,1130,1120
"BU03630201",1810,940,865,140,345,600,460,275,645,230,1160,740,280,135,"     1.6",150,350,1110,935
"BU03630202",2035,1075,955,135,240,745,615,315,690,215,1330,845,325,160,"     1.5",110,340,1360,1130
"BU03630203",685,375,305,45,85,250,195,120,210,85,445,275,120,50,"     1.5",410,50,130,390
"BU03630300",810,455,355,80,75,355,205,105,300,130,500,295,125,75,"     1.6",100,150,450,380
"BU03630301",130,75,55,10,15,50,35,30,40,10,80,45,25,5,"     1.6",70,20,40,80
"BU03630302",1425,730,695,130,190,490,375,260,420,125,870,520,215,130,"     1.6",100,260,840,880
"BU03630303",1505,785,720,160,210,440,470,240,415,165,915,545,215,150,"     1.6",80,360,830,925
"BU03630304",475,260,210,20,50,285,85,45,180,100,350,255,80,15,"     1.3",30,140,310,195
"BU03630305",380,220,155,20,90,220,55,10,150,105,275,195,65,10,"     1.4",0,0,0,125
"BU03630306",645,370,275,55,85,245,175,105,225,65,405,245,95,55,"     1.6",30,110,410,355
"BU03630400",470,270,200,55,30,215,135,50,125,115,280,140,90,40,"     1.7",60,70,280,230
"BU03630401",730,360,370,55,125,295,165,105,220,55,470,295,125,50,"     1.6",30,150,480,455
"BU03630402",985,475,510,100,210,360,235,95,340,175,625,380,150,90,"     1.6",130,180,590,470
"BU03630403",1065,555,505,95,110,400,310,160,280,110,695,440,160,90,"     1.5",70,270,610,675
"BU03630404",1630,790,840,125,150,425,535,405,400,235,1065,740,165,155,"     1.5",170,410,780,995
"BU03630405",1175,625,550,85,105,435,375,190,305,240,795,515,180,100,"     1.5",110,280,680,630
"BU03630406",1210,625,580,105,125,385,350,260,365,180,820,550,165,100,"     1.5",90,210,680,665
"BU03630407",1510,845,660,80,175,480,485,300,390,215,1065,755,195,115,"     1.4",170,360,810,905
"BU03630408",875,455,415,80,85,310,260,155,240,140,605,415,115,70,"     1.4",90,200,450,495
"BU03630500",1915,975,940,290,145,560,570,365,420,470,1010,465,305,235,"     1.9",290,300,920,1025
"BU03630501",1510,755,750,130,155,575,425,240,400,220,1015,690,195,125,"     1.5",130,260,910,890
"BU03630502",2480,1245,1230,235,250,840,740,425,625,470,1510,940,310,260,"     1.6",710,500,870,1385
"BU03630503",2905,1395,1510,305,285,885,945,495,725,420,1800,1100,370,325,"     1.6",290,540,1660,1760
"BU03630505",335,170,160,20,20,195,80,30,105,55,255,190,40,20,"     1.3",0,0,0,175
"BU03630506",155,85,70,15,10,55,65,25,30,35,115,90,15,10,"     1.3",20,40,80,90
"BU03630600",2720,1380,1340,230,240,1115,755,390,730,355,1855,1235,385,230,"     1.5",170,320,1900,1635
"BU03630602",2925,1440,1485,290,295,1080,785,490,830,355,1870,1190,395,285,"     1.6",720,370,1380,1740
"BU03630603",1465,725,740,125,130,545,430,250,340,315,945,575,215,145,"     1.6",110,210,890,810
"BU03630604",935,525,410,50,110,515,200,75,260,225,750,610,95,45,"     1.2",130,290,470,450
"BU03630605",190,105,85,15,25,115,30,15,55,35,115,60,35,15,"     1.7",20,40,110,100
"BU03630606",4325,2190,2135,355,400,1650,1215,720,1225,625,2890,1925,580,380,"     1.5",380,970,2410,2475
"BU03630607",860,455,405,55,80,315,250,175,245,110,605,415,130,55,"     1.4",60,120,580,505
"BU03630608",240,115,120,5,50,140,35,15,75,40,160,95,55,5,"     1.5",0,0,0,125
"BU03630609",685,365,320,35,30,290,140,200,190,105,510,395,80,30,"     1.3",50,150,310,390
"BU03630610",2100,1060,1040,205,220,675,645,365,535,210,1315,820,265,225,"     1.6",270,490,1020,1355
"BU03630611",2950,1490,1460,250,255,945,985,530,750,375,1960,1310,385,265,"     1.5",300,680,1550,1825
"BU03630700",255,145,105,10,35,145,55,20,90,45,195,145,40,5,"     1.3",10,100,140,120
"BU03630701",145,70,70,15,25,70,30,20,60,30,95,65,15,10,"     1.5",10,50,70,55
"BU03630702",990,495,490,40,220,515,155,75,325,175,720,510,155,50,"     1.4",120,250,540,490
"BU03630703",305,165,140,30,40,125,80,40,90,50,200,135,40,20,"     1.5",20,70,160,165
"BU03630704",2420,1205,1210,280,250,1100,520,280,740,270,1510,910,365,230,"     1.6",70,280,1730,1410
"BU03630705",1060,570,490,120,125,365,280,180,295,120,610,350,140,120,"     1.7",70,290,520,645
"BU03630706",1155,590,560,105,115,395,350,200,330,110,750,475,170,105,"     1.5",80,500,430,715
"BU03630707",915,475,435,100,85,325,270,145,265,105,550,325,130,90,"     1.7",80,150,550,545
"BU03630800",3325,1785,1535,220,465,1230,840,580,895,595,2020,1355,440,225,"     1.5",250,740,1700,1835
"BU03630801",2150,1165,985,190,290,875,600,205,565,435,1220,765,285,165,"     1.6",270,360,1280,1150
"BU03630803",1850,940,905,195,245,570,525,325,490,240,1095,650,260,185,"     1.6",160,270,1090,1120
"BU03630804",405,215,185,55,45,185,95,40,105,55,245,145,55,40,"     1.6",30,70,230,245
"BU03630900",80,45,35,15,5,30,35,10,10,15,35,20,10,5,"     1.8",0,10,60,55
"BU03630901",1710,805,900,150,380,455,385,350,335,375,1060,670,200,180,"     1.6",300,470,660,1000
"BU03630902",2190,1100,1085,210,210,725,730,325,415,660,1335,790,270,270,"     1.6",540,640,990,1115
"BU03630903",1725,885,840,210,170,625,530,205,320,585,980,555,200,220,"     1.7",250,330,930,820
"BU03630904",2385,1205,1175,270,260,1115,520,230,525,685,1480,935,285,260,"     1.6",470,570,1010,1175
"BU03630905",1375,700,675,295,205,365,400,120,355,285,670,305,145,215,"     2.1",120,230,680,735
"BU03630907",960,450,505,65,120,305,305,180,200,190,610,390,125,90,"     1.5",120,170,560,570
"BU03630908",2810,1405,1405,275,220,785,1000,540,640,400,1760,1075,390,295,"     1.6",280,700,1520,1770
"BU03631000",30,15,10,5,5,15,10,5,10,10,15,10,5,0,"     1.7",0,0,0,10
"BU03631001",5,5,0,0,0,10,0,5,5,5,5,5,0,0,"     1.1",0,0,0,-5
"BU03631002",0,0,0,0,0,0,5,0,0,0,0,0,0,0,"     1.0",0,0,0,0
"BU03631003",25,15,10,5,5,15,10,5,5,5,10,5,0,0,"     1.9",0,0,0,15
"BU03631004",5,0,5,0,5,5,5,0,5,0,5,5,0,0,"     1.0",0,0,0,0
